, term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,
n,अब्राम,,Ibraam (W),अब्राम वह व्यक्ति था जिसे परमेश्वर ने बाद में अब्राहम कहा जब उसने उसके साथ वाचा बाँधी। अब्राम की पत्नी का नाम सारै था जिसका नाम बाद में परमेश्वर ने सारा रखा (अब्राम नाम का अर्थ है महान पिता।),इब्राहीम,
n,अबशालोम,,,"अबशालोम राजा दाऊद का सबसे प्रिय पुत्र था ।उसने अपने एक भाई को मार डाला, और जब दाऊद जीवित था तब उसने राजा बनने का प्रयास किया।अबशालोम की मृत्यु हो गई जब वह और कुछ लोग दाऊद के सैनिकों के विरुद्ध लड़े।(अबशालोम नाम का अर्थ है शांति का पिता।)",,
n,अबशालोम,,,अबशालोम राजा दाऊद का तीसरा पुत्र था ।उनकी माता माका थीं ।अबशालोम ने दाऊद के पहले बेटे अम्नोन को मार डाला और बाद में दाऊद के विरुद्ध विद्रोह किया(अबशालोम नाम का अर्थ है शांति का पिता।),,
n,अखया,,,अखाया पश्चिमी ग्रीस में एक प्रांत था ।,,
n,आकान ,,,"आकान एक इस्राएली व्यक्ति था जिसने यहोवा के सोने, चाँदी और वस्त्रों को चुरा लिया था ।जब यहोवा ने उसे पापी के रूप में पहचाना, तो यहोवा ने यहोशू और इस्राएलियों से कहा कि वे आकान और उसके पूरे परिवार पथराव करके मार डाले । इसका उद्देश्य दूसरे लोगों को बुरे काम करने से डराना था ताकि उन्हें भी इसी तरह के परिणाम भुगतने पड़ सकते हैं । ",,
n,आदम,,Aadama (W),"आदम  प्रभु यीशु मसीह से लगभग 4000 वर्ष पूर्व जीवित था ।आदम पहला इंसान था जिसे परमेश्वर ने बनाया ।क्योंकि आदम और उसकी पत्नी हव्वा ने परमेश्वर की आज्ञा उल्लंघन की, इसलिए सभी मनुष्यों को मरना होगा ।बाइबल यीशु को दूसरा आदम कहती है, क्योंकि यीशु मनुष्यों को अनन्त जीवन देता है।",हव्वा,
n,अदोनिय्याह,,,"अदोनिय्याह राजा दाऊद के छोटे पुत्रों में से एक था। जब दाऊद बूढ़ा हो गया, तो अदोनिय्याह ने राजा बनने की कोशिश की, लेकिन दाऊद ने घोषणा की कि सुलैमान को राजा बनना होगा। (अदोनिय्याह नाम का अर्थ है मेरा प्रभु ही प्रभु है।)",,
n,अदोनीसेदेक ,"राजा,बादशाह,सुलतान",,अदोनी-सेदेक यरूशलेम का एक कनानी राजा था जिसे यहोशू और इस्राएलियों ने एक लंबी लड़ाई के बाद पकड़ लिया और मौत की सजा दे दी।,,
n,अग्रिप्पा,"राजा,बादशाह,सुलतान",,"राजा हेरोदेस का पोता, अग्रिप्पा, ""यहूदिया का राजा"" कहलाने वाला अंतिम व्यक्ति था। उन्होंने वर्ष 41 से 44 के बीच रोमन अधिकार के अधीन शासन किया। एक बार वह कैसरिया में पौलुस को सुनने आया ।",,
n,अहिय्याह,,,"कई लोगों के नाम अहिय्याह थे। एक उत्तरी इस्राएल में भविष्यवक्ता था, दूसरा राजा था, और एक यरूशलेम में याजक था। (अहिजा नाम का अर्थ प्रभु का भाई है।)",,
